id,_anchor,name_ar,specialization_ar,post_war_status_ar,introduction_ar,introduction_ar,notes_ar
FAC-000,Al-Shifa Medical Complex,مجمع الشفاء الطبي,عام / متعدد التخصصات,عملية جزئية,,,
FAC-001,Kamal Adwan Hospital,مستشفى كمال عدوان,عام,مغلق,,,
FAC-002,Nasser Medical Complex,مجمع ناصر الطبي,عام / متعدد التخصصات,عملية جزئية,,,
FAC-003,Al-Awda Hospital,مستشفى العودة,متعدد التخصصات / طب التوليد,عملية جزئية,,,
FAC-004,Al-Awda Hospital - Nusseirat,مستشفى العودة - النصيرة,عام,عملية جزئية,,,فرع في مخيم النصيرات
FAC-005,Al-Amal Hospital,مستشفى الأمل,عام,عملية جزئية,,,
FAC-006,Al-Aqsa Martyrs Hospital,مستشفى شهداء الأقصى,عام,عملية جزئية,,,
FAC-007,Indonesian Hospital,مستشفى إندونيسي,عام,مغلق,,,بتمويل من جهات مانحة إندونيسية
FAC-008,Al-Quds Hospital,مستشفى القدس,عام,مغلق,,,تشغلها جمعية الصليب الأحمر الفلبينية
FAC-009,Al Ahli Arab Hospital,مستشفى الأهلي العربي,عام,عملية جزئية,,,يُعرف أيضاً باسم مستشفى الأهلي المعمداني
FAC-010,Gaza European Hospital,مستشفى غزة الأوروبي,عام / إحالة,مغلق,,,المستشفى المرجعي الرئيسي لجنوب غزة
FAC-011,Dr Abdul Aziz Rantisi Children's Specialty Hospital,مستشفى الدكتور عبد العزيز الرنتيسي التخصصي للأطفال,طب الأطفال,مغلق,,,
FAC-012,Muhammad Al-Durrah Children's Hospital,مستشفى محمد الدرة للأطفال,طب الأطفال,مغلق,,,
FAC-013,Beit Hanoun Hospital,مستشفى بيت حانون,عام,مغلق,,,
FAC-014,Sheikh Hamad Hospital for Rehabilitation and Prosthetics,مستشفى الشيخ حمد للتأهيل والأطراف الصناعية,إعادة التأهيل / الأطراف الاصطناعية,عملية جزئية,,,
FAC-015,Al Karama Specialized Hospital,مستشفى الكرامة التخصصي,متخصص,مغلق,,,
FAC-016,Gaza Psychiatric Hospital,مستشفى غزة للأمراض النفسية,الطب النفسي,مغلق,,,
FAC-017,International Eye Hospital,مستشفى العيون الدولي,طب العيون,عملية جزئية,,,
FAC-018,Muhammad Youssef Al-Najjar Hospital,مستشفى محمد يوسف النجار,عام,مغلق,,,
FAC-019,Wafaa Medical Rehabilitation and Specialized Surgery Hospital,مستشفى وفاء للتأهيل الطبي والجراحة التخصصية,إعادة التأهيل / الجراحة,عملية جزئية,,,
